FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,CAPACITY
10002291,SUFFOLK COUNTY DWI ALTERNATIVE FACILITY,YAPHANK AVE,YAPHANK,NY,11980,COUNTY,OPEN,-999,SUFFOLK,36103,USA,54
10006593,LINCOLN REGIONAL CENTER,WEST PROSPECTOR PLACE AND FOLSOM STREET,LINCOLN,NE,68509,STATE,OPEN,-999,LANCASTER,31109,USA,250
10003464,"UTAH STATE PRISON, DRAPER - NORTH COMPLEX",WEST 13800 SOUTH,DRAPER,UT,84020,STATE,OPEN,994,SALT LAKE,49035,USA,2000
10000998,KETTLE MORAINE CORRECTIONAL INSTITUTION,W9071 FOREST DR,PLYMOUTH,WI,53073,STATE,OPEN,1186,SHEBOYGAN,55117,USA,783
10002556,BLACK RIVER CORRECTIONAL CENTER,W6898 E STAFFON RD,BLACK RIVER FALLS,WI,54615,STATE,OPEN,130,JACKSON,55053,USA,66
10002543,MENOMINEE TRIBAL JAIL,W3269 COURTHOUSE RD,KESHENA,WI,54135,LOCAL,OPEN,-999,MENOMINEE,55078,USA,45
10002531,LINCOLN HILLS SCHOOL,W 4380 COPPER LAKE AVE,IRMA,WI,54442,STATE,OPEN,148,LINCOLN,55069,USA,519
10006671,COPPER LAKE SCHOOL,W 4380 COPPER LAKE AVE,IRMA,WI,54442,STATE,OPEN,17,LINCOLN,55069,USA,29
10001001,FOX LAKE CORRECTIONAL INSTITUTION,W 10237 LAKE EMILY RD,FOX LAKE,WI,53933,STATE,OPEN,1345,DODGE,55027,USA,979
10002913,FCI THREE RIVERS,US HWY 72 W,THREE RIVERS,TX,78071,FEDERAL,OPEN,1020,LIVE OAK,48297,USA,792
10002914,FCI THREE RIVERS CAMP,US HWY 72 W,THREE RIVERS,TX,78071,FEDERAL,OPEN,244,LIVE OAK,48297,USA,256
10001807,MISSISSIPPI STATE PENITENTIARY,US HWY 49 W,PARCHMAN,MS,38738,STATE,OPEN,3289,SUNFLOWER,28133,USA,3590
10001875,HUTTONSVILLE CORRECTIONAL CENTER,"US HWY 250 S, P.O. BOX 1",HUTTONSVILLE,WV,26273,STATE,OPEN,1131,RANDOLPH,54083,USA,1135
10006674,HUTTONSVILLE WORK CAMP,"US HWY 250 S, P.O. BOX 1",HUTTONSVILLE,WV,26273,STATE,OPEN,-999,RANDOLPH,54083,USA,48
10000676,GREENE COUNTY WORK CAMP,UNITED STATES HIGHWAY 67 SOUTH,ROODHOUSE,IL,62082,STATE,OPEN,125,GREENE,17061,USA,200
10004714,VANDALIA WORK CAMP,UNITED STATES HIGHWAY 51 NORTH,VANDALIA,IL,62471,STATE,OPEN,404,FAYETTE,17051,USA,-999
10003202,FCI OTISVILLE,TWO MILE DR,OTISVILLE,NY,10963,FEDERAL,OPEN,588,ORANGE,36071,USA,897
